smiles,gap_eV
C#CC1(CNC1=O)C#C,7.09401198
CC1CC=CCOC=N1,6.85455166
CC1=C2CCC3C(C1)C23,5.8395664400000005
COC(=O)CN1CC1C,6.65862958
OC1CC23CCCC12O3,8.36478436
CC1=C(C)C2(C)CC1O2,6.31032366
CCOCC12CC(C1)O2,8.38383234
OC1CC11OC2COC12,7.81783522
CC12CC(=O)C(O)C1O2,6.21508376
N#CC12CC(CNC1)N2,6.99060866
OC1CCC2CC2CC1,8.734859400000001
CN1CC2(C1)OC2C#C,6.35930418
CC1OC2(CC#C)CC12,7.68449936
CC1=CCCN(C1)C=O,6.993329800000001
C1CC(=O)COCC=C1,5.58922156
CCC(C#N)C(=O)C#C,5.5919427
NC(CC#N)C#CC#N,6.06542106
OC1C2COCC12,8.4491397
CC1(C)CC1(C)NC=O,7.44503904
CC1(C=O)C2CC1C2,6.04365194
NC(=O)C1NC1C#C,6.840945960000001
CNc1conc1C#C,4.90893656
CC1CCC(C#N)C1=O,5.98922914
C1CC1c2n[nH]nn2,6.52257258
CC12CC1C(O)CCO2,7.88858486
OC(C=O)C1CC=CC1,5.63003866
CC(CN1CC1)C(N)=O,7.208299860000001
CC1CC2(C)C(CO)N12,7.98382476
Cc1cccc(c1)CO,6.3674676
OC12CC(C3CC13)C2=O,6.21236262
OC12C3CC1(OC23)C#C,6.75931176
COC12CC1OC(C)C2,8.82193588
C#CC1(CCOC1)C#N,7.67089366
CC1NC(C)C1=O,5.9538543200000005
CC1N2CC2(C)C1=NO,6.31576594
CCCC1(C)CC2OC12,9.05595392
C1N2C3C4OCC13C24,8.356620939999999
C[NH+]1CC(C)(C1)C([O-])=O,4.89260972
COC1CCC(O1)C=O,6.06269992
c1c(c(oc(=O)n1)N)F,4.585120900000001
N=C1OCC2(CO2)CO1,7.99743046
NC(=O)C1(O)C2CC1O2,7.12122338
CC(=O)C1(CC1)C#N,6.36474646
CCC12NC(C1O)C2O,8.470908820000002
CC1CCN=C(C)O1,7.4069430800000005
NC(=O)C1CC(=O)C1O,5.730720840000001
CC1CC(C#N)C(=O)C1,6.06542106
CC1(CC(=O)C1)OC=O,6.03276738
C1C=CC23OC12C1OC31,6.48719776
OC(C#C)C1OC1C#C,7.39877966
CC12CCOC(=N)C1N2,6.98516638
CN1CCc2c1onc2,5.67901918
C1C2C3CC1C1OC1C23,9.17840522
c1(c(c([nH]c1N)N)O)O,5.9021526600000005
CC1OC2C3NC2C13O,7.692662780000001
CC(=O)Oc1ncon1,6.95523384
C1COc2c1onc2O,5.81507618
O=C1COC2C3CC3C12,5.52663534
c1c2cncnc2c[nH]1,4.38375654
CN=C1CC2NC2CO1,7.35524142
C1CN1CC2OCCO2,8.79744562
C1CCOCOC1,9.33895248
O=CC12CC3(CO3)C1O2,5.8613355600000006
OC1CC11CC(=O)C1,6.03004624
CC1CC2(CC12)C#C,7.36884712
CC1(C)CC(C)(O1)C#N,7.80695066
COC1(COC1)CCO,8.69948458
CCC12CC1CN=CO2,7.37973168
CC1(C)C2C=CC1C2=O,6.72665808
CCC1CCCC(=O)O1,7.377010540000001
Cc1c(cc([nH]1)CO)O,5.77425908
CC1(CO)COC(=O)O1,8.669552040000001
CCC1CC(C1)C(N)=O,7.43959676
C1OC1C1C=CC2OC12,6.63686046
O=CC1OC2C3NC3C12,6.0545365
CC1C2C3OC1C1C3N21,8.61785038
C#CC#Cc1ncno1,4.87900402
CCCCc1[nH]ccn1,6.800128860000001
CCc1c(non1)C#N,6.34569848
C1OC2C=CCC22NC12,6.827340260000001
OCC(C#C)C1CO1,8.30219814
CC(C)(O)C12CC1CC2,8.566148720000001
COC1CC(C)(C)C1=O,5.363366940000001
OCC1OC2CC=CC12,6.93074358
CCc1cccnc1F,6.0953536
O=C1OCC1C1CCO1,7.140271360000001
CC12CC1CC2CC#N,8.16069886
CC1CCC2CC2C1,9.22194346
CCC1(C)CC1(C)C#C,7.907632840000001
CC1COC1(C)C#C,7.52939438
CCC1(NCC1N)C#N,7.4287122000000005
CC(=O)Cn1ncnn1,6.38379444
OC1C23CCC12N=CO3,6.22868946
CCCC12OCC1C2C,8.3130827
C#Cc1c(c(n[nH]1)N)N,4.99601304
CN=C1N=NON=C1F,4.62049572
COC1C2CC1C1OC21,9.023300240000001
ON=C1C2CC3C2OC13,6.6912832600000005
O=CC12CCOCC1O2,5.9592966
CC(C)C(C)(O)C=O,6.11984386
COC(C)(CC#C)C#N,7.75252786
CC1(C)COC2CC2O1,8.31580384
OC1C2NC1C(O)C=C2,6.073584480000001
CC1(O)C2NC11CNC21,7.1021754
CCC(=O)COCC,6.39195786
CC(C)(C#N)C#N,8.898127800000001
c1c(nc(o1)C(=O)N)N,4.7892064
OCC1C2CC(=O)C12,6.20964148
CC1C=CC(=O)C2NC12,5.0722049600000005
CC(O)C1OCC1(C)C,8.29131358
OC1CCC2CCC12O,8.5579853
CC#CCOC(=O)NC,7.730758740000001
OC1CCOC(=N)C1O,7.360683700000001
OC1C2CCC3(CO3)C12,8.69676344
CC(=O)N1CC1CCO,6.568831960000001
OC1C2C3C4CC2C1C34,9.06955962
OCC1(CNC=O)CO1,7.689941640000001
CC(C)C(CC#N)C#C,8.1226029
CC1=CC2CCOC1O2,6.917137879999999
CC(CO)C1CCC1C,9.189289780000001
O=CC1CCC2(CO2)C1,6.196035780000001
CC1(O)C2CC2C11CO1,8.66138862
OCCC1CC1NC=O,7.461365880000001
CC1(C)CC1C1CCC1,9.115819
CC12C3C1C1C3CN21,8.20151596
OCC1=NC(=N)C=CO1,5.75248996
CC1OCC(O)C11CN1,8.37294778
Cc1ccon1,6.9824452400000006
CC1(CC(=O)N1)C=O,5.9048738
CC(=O)NC(=NC)C#C,5.3415978200000005
CC1OC2CC2(C)O1,9.064117340000001
CC1C2(C)OC1(C)C=C2,6.42733268
CC1C2CN2C1(C)CO,8.66410976
