smiles,gap_eV
CC1(CN1)C(C#C)C#N,7.3014936447143555
C1CC11C2OC2C11CO1,8.231673240661621
OC1CC1C1CC(O)C1,8.614441871643066
OC1C=CC2COC12,6.637942790985107
CC1OC1CNC(N)=O,8.118265151977539
O=C1CC2OC2(C1)C#C,5.9304633140563965
C1C2CC3(COC3)C12,8.613081932067871
CC(C)(O)C(C#C)C#N,7.961945533752441
CC1COCOC1=N,7.581679344177246
CC#CC1(O)C(C)C1C,7.436497688293457
OC12CC1CC2CC#N,8.117507934570312
CC1C2C(=O)OCC12C,7.4575581550598145
CC12OCC3OC1C23O,7.669467449188232
CC1C2C=CC3(CO3)C12,6.456878185272217
OCC12NC1CNC2=O,6.909918308258057
OC12C=CC3C(C=C1)C23,5.760066509246826
c1cnc(cn1)CCO,5.345841884613037
CN=C1OCOC2CC12,7.236809253692627
CC12CC(N1)(C=O)C=C2,5.583809852600098
CC1CN1C(=O)CCO,7.071883201599121
Cc1c[nH]c(c1O)OC,6.2797675132751465
CN=C1OC2C3CC3C12,7.136874198913574
CCCC1CCOC1C,8.758333206176758
CC1(OC1C1CN1)C#N,7.191009998321533
CC1C=CC2OC12CO,6.67045783996582
CC12C3N=C4NC1C4C23,4.864840984344482
C1C2C3NC3C3(CO3)C12,8.078262329101562
CC1=CC(O)C2(CN2)C1,6.85548210144043
N=C1C=COC(=O)N=C1,4.683721542358398
NC1=NC2COC2C1=O,4.465223789215088
C1OC11CC2OC3C2C13,8.264655113220215
N#CC1NC23CC(C2)C13,7.101343631744385
N#CC1OC23CC(C2)C13,7.349875450134277
CC1CC2CNC12C#N,7.040099143981934
NC(=O)C1(CCO1)C=O,5.518610954284668
CC1(CN1)C1(CC1)C#N,7.60189962387085
C1C2COCCCN12,8.27125072479248
CC12CC3(O)C1NC23,8.024446487426758
CC#Cc1ncn(n1)C,6.055670261383057
OCC12CN1CC=C2,6.331923961639404
CC1(O)C2COC1CO2,8.366092681884766
CCC1OC(=O)C=C1N,5.940241813659668
CC1(CO1)C(=O)NC=O,5.922362804412842
CC1=CC(=NO)CN1,5.248887062072754
CC1C(N1C)C(=O)C#N,4.589754104614258
OC1CC=CC(C1)C#N,7.176887035369873
C1OC1C1OCC11CO1,8.411016464233398
O=CC(=O)NCC1CN1,4.778977394104004
C1C2=C(COC2)C(=O)N1,5.825582504272461
CCC1COCC=CC1,7.09119987487793
Cc1c(oc(=O)cn1)C,4.610387802124023
CC1C2CN1C(C)CO2,7.889172554016113
CCCC1CNC(=O)N1,8.155247688293457
O=C1C2CNC1CN2,5.271562099456787
NC1(C#N)C2CCCC12,7.730008125305176
NC(=O)N1CC1CC#C,7.410948753356934
CC1CC=CC2OCC12,7.021938800811768
CC(C#N)N1CCCC1,7.224087238311768
CN1C2C3NC3C12C=O,5.420670986175537
CC(C#N)C1=CN=CO1,6.4419050216674805
CC1=NCC(O1)C#C,7.298748016357422
CC1OC(C)(C#N)C1=O,5.908140659332275
NC(=O)C12OC3C1CC23,6.708269119262695
CCC1=CCOC(C)C1,7.034841060638428
c1c(onn1)CC(=O)N,6.132089614868164
OCCC1CCCOC1,8.754612922668457
CN1C2CC=CC1C2O,6.1000213623046875
C1OC2C1CC1OCC21,8.36402416229248
CC12NC1COC2C=O,5.6850409507751465
CC1CCC=C1C(N)=O,5.859850883483887
C1C2CC3OC2C1C=C3,6.638559818267822
OCC#CC(CO)C#N,7.475110054016113
CCCC1OCC11CN1,8.447951316833496
O=CC1OC(C=O)C=C1,5.462457180023193
CC1(O)C2CCC12C,8.453487396240234
CCC(C#N)(C#N)OC,7.761615753173828
CC1(CO1)C1(CO)CN1,8.589909553527832
O=C1NN=C(N1)C1CO1,6.2833170890808105
COC12CC3C1C2N3C,7.784799098968506
COC1=CC(=O)NN=N1,4.8139190673828125
OC1C2C3CC3C12C=O,5.432206153869629
COC1(C)CC1(O)C#N,7.4576005935668945
CC#CC(CO)CC#N,7.903866767883301
CCC1=CC2C3CC1C23,6.328789710998535
CC#CC1C2C3CN1C23,6.979062557220459
c1c2c([nH]n1)COC=N2,5.479398727416992
CC12OC3C(C13)C21CN1,8.308307647705078
OC1CC=CC(=O)C1,5.190755367279053
C1C(CO1)C(CO)CO,8.332012176513672
Cc1c([nH]nn1)C(=O)C,5.260698318481445
COC1(CCCO1)C=O,6.09612512588501
C#Cc1conc1CO,5.891800403594971
C1OC2C=CC3C1OC23,6.45375919342041
COCCCN=COC,7.25016975402832
CC1(CN1C=O)C1CC1,6.847067832946777
CC(=O)CC1(CO1)C#N,6.156728744506836
CC1CC1CCCCO,9.122910499572754
CC1OC2CC(=O)C12,5.896975040435791
N#CC1CN2C3CC3C12,6.978072166442871
C1N=C2OC3C=CC1C23,5.88789701461792
CC1(C=O)C2N1CC2=O,5.503852367401123
C1CC12CN=COCO2,6.954884052276611
OC1(CCC1C=O)C=O,5.458000183105469
CC#CC1(CN1)C1CC1,7.534397125244141
CC1CC2(C)CC2(C)O1,8.379135131835938
CC1CN2CC1C2C=O,5.511625289916992
CCCCN=COC=O,6.647475242614746
CCOc1coc(n1)C,6.2552714347839355
CCC1CCC=CC1=O,5.158661365509033
CN=C1C=C(O)NN=N1,4.645633220672607
N#CC12CC(C1)C21CN1,7.398316383361816
OC1C=CCNCC1=O,5.335467338562012
CC1C(CC#N)C1C=O,6.135530471801758
CCC1OCC(C)=C1C,6.819404125213623
CCC1CC(C1)C#CC,8.109304428100586
CCC(C)C1=CN=NO1,6.589719772338867
OC1C2OC3C2C13C#C,7.140390872955322
CC1OC2C1OCC2O,8.357069969177246
CC12CC1C(O)C1CC21,8.407452583312988
CC(C)C(C)C(O)C#C,8.120832443237305
CC1=NOC(=N1)C1CN1,6.270166397094727
CC(=O)C1CC1(O)C#N,6.036644458770752
Cc1cc(n[nH]1)N2CC2,6.48604679107666
CC#CC1C2CC1CC2,8.088327407836914
